Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,990658-annotations
Non-DAC countries (OECD),,2008,8103820000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2009,5927688700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2010,5753539600,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2011,7656084500,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2012,4679618600,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2013,14198657000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2014,22328717000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2015,10163419000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2016,14133041000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2017,15384969000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2018,19403426000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2019,15894894000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2020,15283964000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2021,18950690000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries (OECD),,2022,17659767000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Nordic Development Fund,,1994,33189998,
Nordic Development Fund,,1995,59800000,
Nordic Development Fund,,1996,91930000,
Nordic Development Fund,,1997,65519996,
Nordic Development Fund,,1998,64089996,
Nordic Development Fund,,1999,53280000,
Nordic Development Fund,,2000,55160000,
Nordic Development Fund,,2001,48920000,
Nordic Development Fund,,2002,48410000,
Nordic Development Fund,,2003,68760000,
Nordic Development Fund,,2004,85240000,
Nordic Development Fund,,2005,74330000,
Nordic Development Fund,,2006,77590000,
Nordic Development Fund,,2007,71920000,
Nordic Development Fund,,2008,92000000,
Nordic Development Fund,,2009,67180000,
Nordic Development Fund,,2010,51840000,
Nordic Development Fund,,2011,51140000,
Nordic Development Fund,,2012,38080000,
Nordic Development Fund,,2013,28310000,
Nordic Development Fund,,2014,26170000,
Nordic Development Fund,,2015,13110000,
Nordic Development Fund,,2016,15900000,
Nordic Development Fund,,2017,18340000,
Nordic Development Fund,,2018,5240000,
Nordic Development Fund,,2019,-3680000,
Nordic Development Fund,,2020,22660000,
Nordic Development Fund,,2021,4890000,
Nordic Development Fund,,2022,1010000,
North American Development Bank,,2020,110000,
North American Development Bank,,2021,910000,
North American Development Bank,,2022,800000,
Norway,NOR,1960,89252184,
Norway,NOR,1961,113844664,
Norway,NOR,1962,116577130,
Norway,NOR,1963,153160450,
Norway,NOR,1964,141985010,
Norway,NOR,1965,159913260,
Norway,NOR,1966,190414510,
Norway,NOR,1967,190853580,
Norway,NOR,1968,334665100,
Norway,NOR,1969,357175140,
Norway,NOR,1970,394487680,
Norway,NOR,1971,420751420,
Norway,NOR,1972,558511000,
Norway,NOR,1973,613354000,
Norway,NOR,1974,803675200,
Norway,NOR,1975,976789000,
Norway,NOR,1976,1123707900,
Norway,NOR,1977,1373008800,
Norway,NOR,1978,1530294100,
Norway,NOR,1979,1692975100,
Norway,NOR,1980,1651310600,
Norway,NOR,1981,1634014300,
Norway,NOR,1982,1991316900,
Norway,NOR,1983,2196709600,
Norway,NOR,1984,2142127000,
Norway,NOR,1985,2279670300,
Norway,NOR,1986,2738813700,
Norway,NOR,1987,2597274400,
Norway,NOR,1988,2650182400,
Norway,NOR,1989,2476499200,
Norway,NOR,1990,2840019700,
Norway,NOR,1991,2813594000,
Norway,NOR,1992,2933840600,
Norway,NOR,1993,2608703000,
Norway,NOR,1994,2912785000,
Norway,NOR,1995,2778624500,
Norway,NOR,1996,2861394400,
Norway,NOR,1997,3037005800,
Norway,NOR,1998,3301098000,
Norway,NOR,1999,3316259600,
Norway,NOR,2000,2992496600,
Norway,NOR,2001,3203786500,
Norway,NOR,2002,3640428500,
Norway,NOR,2003,3780746500,
Norway,NOR,2004,3657246500,
Norway,NOR,2005,4084356900,
Norway,NOR,2006,3943834600,
Norway,NOR,2007,4430985700,
Norway,NOR,2008,4187403800,
Norway,NOR,2009,4946229000,
Norway,NOR,2010,4814020000,
Norway,NOR,2011,4552045600,
Norway,NOR,2012,4567127600,
Norway,NOR,2013,5286329300,
Norway,NOR,2014,5151182300,
Norway,NOR,2015,5704148000,
Norway,NOR,2016,6182814000,
Norway,NOR,2017,5508369000,
Norway,NOR,2018,5238630400,
Norway,NOR,2019,5751158000,
Norway,NOR,2020,6161769000,
Norway,NOR,2021,5348843500,
Norway,NOR,2022,5160980000,
Norway,NOR,2023,6445713000,
Norwegian Postcode Lottery,,2018,600000,
Norwegian Postcode Lottery,,2019,2720000,
Norwegian Postcode Lottery,,2020,8210000,
Norwegian Postcode Lottery,,2021,10580000,
Norwegian Postcode Lottery,,2022,10730000,
OPEC Fund for International Development,,1977,558140000,
OPEC Fund for International Development,,1978,254530000,
OPEC Fund for International Development,,1979,232330000,
OPEC Fund for International Development,,1980,347210000,
OPEC Fund for International Development,,1981,629669950,
OPEC Fund for International Development,,1982,682850000,
OPEC Fund for International Development,,1983,463650000,
OPEC Fund for International Development,,1984,164810000,
OPEC Fund for International Development,,1985,117080000,
OPEC Fund for International Development,,1986,35530000,
OPEC Fund for International Development,,1987,-59860000,
OPEC Fund for International Development,,1988,-61980000,
OPEC Fund for International Development,,1989,-66239996,
OPEC Fund for International Development,,1990,-58630000,
OPEC Fund for International Development,,1991,-27460000,
OPEC Fund for International Development,,1992,-25340000,
OPEC Fund for International Development,,1993,-62410000,
OPEC Fund for International Development,,1994,-50660000,
OPEC Fund for International Development,,1995,-26920000,
OPEC Fund for International Development,,1996,-47310000,
OPEC Fund for International Development,,1997,-51720000,
OPEC Fund for International Development,,1998,-10910000,
OPEC Fund for International Development,,1999,10640000,
OPEC Fund for International Development,,2000,25890000,
OPEC Fund for International Development,,2001,74840000,
OPEC Fund for International Development,,2002,125790000,
OPEC Fund for International Development,,2003,75130000,
OPEC Fund for International Development,,2004,111800000,
OPEC Fund for International Development,,2005,69610000,
OPEC Fund for International Development,,2006,167680000,
OPEC Fund for International Development,,2007,218240000,
OPEC Fund for International Development,,2008,198060000,
OPEC Fund for International Development,,2009,177890000,
OPEC Fund for International Development,,2010,166790000,
OPEC Fund for International Development,,2011,137470000,
OPEC Fund for International Development,,2012,149300000,
OPEC Fund for International Development,,2013,212260000,
OPEC Fund for International Development,,2014,259230020,
OPEC Fund for International Development,,2015,187080000,
OPEC Fund for International Development,,2016,261000000,
OPEC Fund for International Development,,2017,292770000,
OPEC Fund for International Development,,2018,265940000,
OPEC Fund for International Development,,2019,-126030000,
OPEC Fund for International Development,,2020,15190000,
OPEC Fund for International Development,,2021,168310000,
OPEC Fund for International Development,,2022,430260000,
OSCE,,2010,156110000,
OSCE,,2011,148390000,
OSCE,,2012,136050000,
OSCE,,2013,133800000,
OSCE,,2014,129899990,
OSCE,,2015,126520000,
OSCE,,2016,124570000,
OSCE,,2017,118200000,
OSCE,,2018,120400000,
OSCE,,2019,117960000,
OSCE,,2020,72820000,
OSCE,,2021,112360000,
OSCE,,2022,102470000,
Oak Foundation,,2017,118980000,
Oak Foundation,,2018,222610000,
Oak Foundation,,2019,146140000,
Oak Foundation,,2020,158500000,
Oak Foundation,,2021,153890000,
Oak Foundation,,2022,249980000,
Omidyar Network Fund,,2017,67370000,
Omidyar Network Fund,,2018,60850000,
Omidyar Network Fund,,2019,66850000,
Omidyar Network Fund,,2020,33000000,
Omidyar Network Fund,,2021,27860000,
Omidyar Network Fund,,2022,8640000,
Open Society Foundations,,2016,244910000,
Open Society Foundations,,2017,267590000,
Open Society Foundations,,2018,301300000,
Open Society Foundations,,2019,299420000,
Open Society Foundations,,2020,381400000,
Open Society Foundations,,2021,461570020,
Other donor countries (OECD),,1970,425547680,
Other donor countries (OECD),,1971,390519940,
Other donor countries (OECD),,1972,371296130,
Other donor countries (OECD),,1973,1192971900,
Other donor countries (OECD),,1974,2140049300,
Other donor countries (OECD),,1975,1731238500,
Other donor countries (OECD),,1976,461346020,
Other donor countries (OECD),,1977,479415840,
Other donor countries (OECD),,1978,554829100,
Other donor countries (OECD),,1979,2440099600,
Other donor countries (OECD),,1980,2890251500,
Other donor countries (OECD),,1981,965170700,
Other donor countries (OECD),,1982,280430240,
Other donor countries (OECD),,1983,154068770,
Other donor countries (OECD),,1984,-30143680,
Other donor countries (OECD),,1985,71069350,
Other donor countries (OECD),,1986,254533040,
Other donor countries (OECD),,1987,125077656,
Other donor countries (OECD),,1988,173388600,
Other donor countries (OECD),,1989,462085300,
Other donor countries (OECD),,1990,242585170,
Other donor countries (OECD),,1991,55936944,
Other donor countries (OECD),,1992,22257060,
Other donor countries (OECD),,1993,17505954,
Other multilateral organizations,,1974,28930000,
Other multilateral organizations,,1975,155760000,
Other multilateral organizations,,1976,245420000,
Other multilateral organizations,,1977,883280000,
Other multilateral organizations,,1978,891590000,
Other multilateral organizations,,1979,620810000,
Other multilateral organizations,,1980,610909950,
Other multilateral organizations,,1981,919909950,
Other multilateral organizations,,1982,917130000,
Other multilateral organizations,,1983,697870000,
Other multilateral organizations,,1984,305340000,
Other multilateral organizations,,1985,246650000,
Other multilateral organizations,,1986,252070000,
Other multilateral organizations,,1987,96250000,
Other multilateral organizations,,1988,70410000,
Other multilateral organizations,,1989,186260000,
Other multilateral organizations,,1990,58780000,
Other multilateral organizations,,1991,202430000,
Other multilateral organizations,,1992,455610000,
Other multilateral organizations,,1993,418029980,
Other multilateral organizations,,1994,526510000,
Other multilateral organizations,,1995,191430000,
Other multilateral organizations,,1996,252070000,
Other multilateral organizations,,1997,254140000,
Other multilateral organizations,,1998,497200000,
Other multilateral organizations,,1999,473010020,
Other multilateral organizations,,2000,607000000,
Other multilateral organizations,,2001,839370000,
Other multilateral organizations,,2002,858030000,
Other multilateral organizations,,2003,1039319940,
Other multilateral organizations,,2004,1562980000,
Other multilateral organizations,,2005,2054920000,
Other multilateral organizations,,2006,2415470000,
Other multilateral organizations,,2007,3773600000,
Other multilateral organizations,,2008,4648890400,
Other multilateral organizations,,2009,4326640000,
Other multilateral organizations,,2010,5685560000,
Other multilateral organizations,,2011,4766120000,
Other multilateral organizations,,2012,5822670000,
Other multilateral organizations,,2013,7272440000,
Other multilateral organizations,,2014,6355510000,
Other multilateral organizations,,2015,7309990400,
Other multilateral organizations,,2016,6940930000,
Other multilateral organizations,,2017,7786060300,
Other multilateral organizations,,2018,6550640000,
Other multilateral organizations,,2019,6950610000,
Other multilateral organizations,,2020,8404179500,
Other multilateral organizations,,2021,8195790000,
Other multilateral organizations,,2022,8940060000,
Other multilaterals not specified,,1960,918450000,
Other multilaterals not specified,,1961,1239130000,
Other multilaterals not specified,,1962,1291720000,
Other multilaterals not specified,,1963,1583450000,
Other multilaterals not specified,,1964,1626280100,
Other multilaterals not specified,,1965,1427270000,
Other multilaterals not specified,,1966,1783920000,
Other multilaterals not specified,,1967,1620190000,
Other multilaterals not specified,,1970,3600000,
Other multilaterals not specified,,1971,1290000,
Other multilaterals not specified,,1972,1110000,
Other multilaterals not specified,,1973,2160000,
Other multilaterals not specified,,1974,484080000,
Other multilaterals not specified,,1975,460700000,
Other multilaterals not specified,,1976,1316439900,
Other multilaterals not specified,,1977,3532310000,
Other multilaterals not specified,,1978,4607210000,
Other multilaterals not specified,,1979,1827990000,
Other multilaterals not specified,,1980,4000850200,
Other multilaterals not specified,,1981,1109550100,
Other multilaterals not specified,,1982,277530000,
Other multilaterals not specified,,1983,-91630000,
Other multilaterals not specified,,1984,-340140000,
Other multilaterals not specified,,1985,-759830000,
Other multilaterals not specified,,1986,-9030000,
Other multilaterals not specified,,1987,-13460000,
Other multilaterals not specified,,1988,3490000,
Other multilaterals not specified,,1989,-8319999.5,
Other multilaterals not specified,,1990,-15050000,
Other multilaterals not specified,,1991,-10150000,
Other multilaterals not specified,,1992,-23180000,
Other multilaterals not specified,,1993,-8420000,
Other multilaterals not specified,,1994,-12790000,
People's Postcode Lottery,,2016,22920000,
People's Postcode Lottery,,2017,41630000,
People's Postcode Lottery,,2018,49310000,
People's Postcode Lottery,,2019,61090000,
People's Postcode Lottery,,2020,70670000,
People's Postcode Lottery,,2021,58010000,
People's Postcode Lottery,,2022,76840000,
Poland,POL,1975,124241416,
Poland,POL,1976,116333910,
Poland,POL,1977,72253000,
Poland,POL,1978,81835864,
Poland,POL,1979,79135096,
Poland,POL,1980,99704820,
Poland,POL,1981,15160916,
Poland,POL,1982,7632139,
Poland,POL,1983,4826557,
Poland,POL,1984,10599407,
Poland,POL,1985,48489220,
Poland,POL,1986,35386560,
Poland,POL,1987,21385956,
Poland,POL,1988,18368808,
Poland,POL,1989,10591104,
Poland,POL,1998,30656740,
Poland,POL,1999,35655364,
Poland,POL,2000,51608070,
Poland,POL,2001,57921748,
Poland,POL,2002,22651568,
Poland,POL,2003,40820316,
Poland,POL,2004,158167920,
Poland,POL,2005,237664500,
Poland,POL,2006,328587170,
Poland,POL,2007,341806400,
Poland,POL,2008,298265380,
Poland,POL,2009,367609860,
Poland,POL,2010,353906660,
Poland,POL,2011,372955780,
Poland,POL,2012,403946720,
Poland,POL,2013,452794370,
Poland,POL,2014,417106370,
Poland,POL,2015,480443420,
Poland,POL,2016,754445630,
Poland,POL,2017,729062300,
Poland,POL,2018,768834800,
Poland,POL,2019,795052500,
Poland,POL,2020,825999800,
Poland,POL,2021,927748300,
Poland,POL,2022,3481280000,
Poland,POL,2023,2208491000,
Portugal,PRT,1960,13100000,
Portugal,PRT,1961,449770000,
Portugal,PRT,1966,216750000,
Portugal,PRT,1967,468709980,
Portugal,PRT,1980,14194417,
Portugal,PRT,1981,22281306,
Portugal,PRT,1982,15880426,
Portugal,PRT,1983,53352860,
Portugal,PRT,1984,37694224,
Portugal,PRT,1985,44932550,
Portugal,PRT,1986,71561864,
Portugal,PRT,1987,112293864,
Portugal,PRT,1988,217139600,
Portugal,PRT,1989,281367800,
Portugal,PRT,1990,290515600,
Portugal,PRT,1991,385943040,
Portugal,PRT,1992,461431700,
Portugal,PRT,1993,411537800,
Portugal,PRT,1994,510950500,
Portugal,PRT,1995,378936400,
Portugal,PRT,1996,322117020,
Portugal,PRT,1997,404789950,
Portugal,PRT,1998,413884100,
Portugal,PRT,1999,446414750,
Portugal,PRT,2000,489352160,
Portugal,PRT,2001,481635940,
Portugal,PRT,2002,527855170,
Portugal,PRT,2003,421779620,
Portugal,PRT,2004,1208397400,
Portugal,PRT,2005,427571870,
Portugal,PRT,2006,431229570,
Portugal,PRT,2007,455886080,
Portugal,PRT,2008,560499900,
Portugal,PRT,2009,474747460,
Portugal,PRT,2010,627767400,
Portugal,PRT,2011,653972300,
Portugal,PRT,2012,582729860,
Portugal,PRT,2013,463909470,
Portugal,PRT,2014,406133060,
Portugal,PRT,2015,340912320,
Portugal,PRT,2016,374444220,
Portugal,PRT,2017,401583580,
Portugal,PRT,2018,383712060,
Portugal,PRT,2019,391272580,
Portugal,PRT,2020,415181250,
Portugal,PRT,2021,417350500,
Portugal,PRT,2022,439570020,
Portugal,PRT,2023,408886370,
Postcode Lottery Group,,2016,337630000,
Postcode Lottery Group,,2017,377109980,
Postcode Lottery Group,,2018,371420000,
Postcode Lottery Group,,2019,369280000,
Postcode Lottery Group,,2020,360720000,
Postcode Lottery Group,,2021,325540000,
Postcode Lottery Group,,2022,341490000,
Private donors (OECD),,2009,3302810000,
Private donors (OECD),,2010,2594270000,
Private donors (OECD),,2011,3412950000,
Private donors (OECD),,2012,3313970000,
Private donors (OECD),,2013,3627050000,
Private donors (OECD),,2014,3690990000,
Private donors (OECD),,2015,4152919800,
Private donors (OECD),,2016,5467350000,
Private donors (OECD),,2017,8272380000,
Private donors (OECD),,2018,8852420000,
Private donors (OECD),,2019,8961500000,
Private donors (OECD),,2020,10787750000,
Private donors (OECD),,2021,11833610000,
Private donors (OECD),,2022,10675690000,
Qatar,QAT,1973,446120860,
Qatar,QAT,1974,803665660,
Qatar,QAT,1975,1050727400,
Qatar,QAT,1976,495761440,
Qatar,QAT,1977,399627870,
Qatar,QAT,1978,132832840,
Qatar,QAT,1979,694055000,
Qatar,QAT,1980,603855700,
Qatar,QAT,1981,570392300,
Qatar,QAT,1982,296991970,
Qatar,QAT,1983,14555880,
Qatar,QAT,1984,5765044,
Qatar,QAT,1985,10993298,
Qatar,QAT,1986,33669180,
Qatar,QAT,1987,-3494198,
Qatar,QAT,1988,4409195,
Qatar,QAT,1989,-5455513,
Qatar,QAT,1990,-3708642,
Qatar,QAT,1992,28032,
Qatar,QAT,1993,4960737,
Qatar,QAT,1994,3062025,
Qatar,QAT,2019,600991200,
Qatar,QAT,2020,607977540,
Qatar,QAT,2021,656289700,
Qatar,QAT,2022,835745900,
Qatar,QAT,2023,687654000,
Regional development banks,,1965,-450000,
Regional development banks,,1966,-276400000,
Regional development banks,,1967,-270980000,
Regional development banks,,1973,3510000,
Regional development banks,,1974,12760000,
Regional development banks,,1975,75360000,
Regional development banks,,1976,84570000,
Regional development banks,,1977,162020000,
Regional development banks,,1978,295269980,
Regional development banks,,1979,361540000,
Regional development banks,,1980,481350000,
Regional development banks,,1981,450050000,
Regional development banks,,1982,531630000,
Regional development banks,,1983,628980000,
Regional development banks,,1984,445820000,
Regional development banks,,1985,714930000,
Regional development banks,,1986,762260030,
Regional development banks,,1987,817480000,
Regional development banks,,1988,691210050,
Regional development banks,,1989,935620000,
Regional development banks,,1990,1041770050,
Regional development banks,,1991,1021460030,
Regional development banks,,1992,1075610000,
Regional development banks,,1993,1047630000,
Regional development banks,,1994,903680000,
Regional development banks,,1995,685310000,
Regional development banks,,1996,794070000,
Regional development banks,,1997,839940030,
Regional development banks,,1998,848550000,
Regional development banks,,1999,709270000,
Regional development banks,,2000,492520000,
Regional development banks,,2001,966080000,
Regional development banks,,2002,1294270100,
Regional development banks,,2003,830229950,
Regional development banks,,2004,1641220000,
Regional development banks,,2005,1527479900,
Regional development banks,,2006,2881860000,
Regional development banks,,2007,1838430100,
Regional development banks,,2008,2163730000,
Regional development banks,,2009,3527290000,
Regional development banks,,2010,2352330000,
Regional development banks,,2011,2687850000,
Regional development banks,,2012,4937450000,
Regional development banks,,2013,5583170000,
Regional development banks,,2014,5494080000,
Regional development banks,,2015,6301570000,
Regional development banks,,2016,5797860000,
Regional development banks,,2017,5350899700,
Regional development banks,,2018,3802540000,
Regional development banks,,2019,4350620000,
Regional development banks,,2020,6787220000,
Regional development banks,,2021,4521950000,
Regional development banks,,2022,4940420000,
Rockefeller Foundation,,2018,123510000,
Rockefeller Foundation,,2019,125350000,
Rockefeller Foundation,,2020,131310000,
Rockefeller Foundation,,2021,366510000,
Rockefeller Foundation,,2022,116720000,
Romania,ROU,2008,124691336,
Romania,ROU,2009,160767620,
Romania,ROU,2010,119124930,
Romania,ROU,2011,161247740,
Romania,ROU,2012,143714560,
Romania,ROU,2013,133462160,
Romania,ROU,2014,212629040,
Romania,ROU,2015,173988880,
Romania,ROU,2016,224852380,
Romania,ROU,2017,238243740,
Romania,ROU,2018,258975340,
Romania,ROU,2019,269219900,
Romania,ROU,2020,317505540,
Romania,ROU,2021,404722660,
Romania,ROU,2022,411895170,
Romania,ROU,2023,523412060,
Saudi Arabia,SAU,1966,2161867800,
Saudi Arabia,SAU,1970,1126334200,
Saudi Arabia,SAU,1971,1305609700,
Saudi Arabia,SAU,1972,1927714600,
Saudi Arabia,SAU,1973,5303849000,
Saudi Arabia,SAU,1974,8657126000,
Saudi Arabia,SAU,1975,9912767000,
Saudi Arabia,SAU,1976,9379236000,
Saudi Arabia,SAU,1977,7816191500,
Saudi Arabia,SAU,1978,15063816000,
Saudi Arabia,SAU,1979,9983139000,
Saudi Arabia,SAU,1980,13342038000,
Saudi Arabia,SAU,1981,13266693000,
Saudi Arabia,SAU,1982,8998267000,
Saudi Arabia,SAU,1983,7581174300,
Saudi Arabia,SAU,1984,7799405600,
Saudi Arabia,SAU,1985,6304012000,
Saudi Arabia,SAU,1986,7221762600,
Saudi Arabia,SAU,1987,5221265000,
Saudi Arabia,SAU,1988,3009420300,
Saudi Arabia,SAU,1989,1950295400,
Saudi Arabia,SAU,1990,5413185500,
Saudi Arabia,SAU,1991,2514211300,
Saudi Arabia,SAU,1992,1097477600,
Saudi Arabia,SAU,1993,685327360,
Saudi Arabia,SAU,1994,441806500,
Saudi Arabia,SAU,1995,372391740,
Saudi Arabia,SAU,1996,479498100,
Saudi Arabia,SAU,1997,313493500,
Saudi Arabia,SAU,1998,357615200,
Saudi Arabia,SAU,1999,257230130,
Saudi Arabia,SAU,2000,396660800,
Saudi Arabia,SAU,2001,312636600,
Saudi Arabia,SAU,2002,3660188700,
Saudi Arabia,SAU,2003,3139123000,
Saudi Arabia,SAU,2004,2106780500,
Saudi Arabia,SAU,2005,1211905300,
Saudi Arabia,SAU,2006,2312022300,
Saudi Arabia,SAU,2007,1648574300,
Saudi Arabia,SAU,2008,5053043700,
Saudi Arabia,SAU,2009,3302765600,
Saudi Arabia,SAU,2010,3627795200,
Saudi Arabia,SAU,2011,5013982700,
Saudi Arabia,SAU,2012,1310768400,
Saudi Arabia,SAU,2013,5664686600,
Saudi Arabia,SAU,2014,13570068000,
Saudi Arabia,SAU,2015,945322300,
Saudi Arabia,SAU,2016,1705049300,
Saudi Arabia,SAU,2017,2096054400,
Saudi Arabia,SAU,2018,5036385000,
Saudi Arabia,SAU,2019,2191586600,
Saudi Arabia,SAU,2020,2011656400,
Saudi Arabia,SAU,2021,6894631000,
Saudi Arabia,SAU,2022,6331403300,
Slovakia,SVK,1999,18877280,
Slovakia,SVK,2000,15342847,
Slovakia,SVK,2001,21550728,
Slovakia,SVK,2002,15685244,
Slovakia,SVK,2003,27259750,
Slovakia,SVK,2004,42287480,
Slovakia,SVK,2005,80064780,
Slovakia,SVK,2006,72081680,
Slovakia,SVK,2007,72378340,
Slovakia,SVK,2008,84422904,
Slovakia,SVK,2009,69991360,
Slovakia,SVK,2010,71557340,
Slovakia,SVK,2011,78236240,
Slovakia,SVK,2012,77419130,
Slovakia,SVK,2013,80523650,
Slovakia,SVK,2014,78077310,
Slovakia,SVK,2015,95502920,
Slovakia,SVK,2016,120221470,
Slovakia,SVK,2017,131015656,
Slovakia,SVK,2018,141717470,
Slovakia,SVK,2019,122523576,
Slovakia,SVK,2020,143394350,
Slovakia,SVK,2021,148419070,
Slovakia,SVK,2022,171880000,
Slovakia,SVK,2023,156435300,
Slovenia,SVN,2005,41306090,
Slovenia,SVN,2006,50815000,
Slovenia,SVN,2007,55006690,
Slovenia,SVN,2008,62398124,
Slovenia,SVN,2009,65870850,
Slovenia,SVN,2010,57560220,
Slovenia,SVN,2011,58128120,
Slovenia,SVN,2012,58273770,
Slovenia,SVN,2013,58472560,
Slovenia,SVN,2014,58236292,
Slovenia,SVN,2015,70924370,
Slovenia,SVN,2016,90597880,
Slovenia,SVN,2017,81655820,
Slovenia,SVN,2018,84158700,
Slovenia,SVN,2019,91130670,
Slovenia,SVN,2020,91540470,
Slovenia,SVN,2021,110021590,
Slovenia,SVN,2022,168700000,
Slovenia,SVN,2023,145298800,
South Korea,KOR,1987,46708540,
South Korea,KOR,1988,55796600,
South Korea,KOR,1989,47955060,
South Korea,KOR,1990,83367460,
South Korea,KOR,1991,74344184,
South Korea,KOR,1992,98046830,
South Korea,KOR,1993,137889010,
South Korea,KOR,1994,160618580,
South Korea,KOR,1995,119065064,
South Korea,KOR,1996,163631780,
South Korea,KOR,1997,216818020,
South Korea,KOR,1998,301003170,
South Korea,KOR,1999,448715360,
South Korea,KOR,2000,282665700,
South Korea,KOR,2001,389073000,
South Korea,KOR,2002,385635260,
South Korea,KOR,2003,465697570,
South Korea,KOR,2004,502459900,
South Korea,KOR,2005,790386200,
South Korea,KOR,2006,445469570,
South Korea,KOR,2007,649448700,
South Korea,KOR,2008,869475400,
South Korea,KOR,2009,979469600,
South Korea,KOR,2010,1243787900,
South Korea,KOR,2011,1328090900,
South Korea,KOR,2012,1608481200,
South Korea,KOR,2013,1701053000,
South Korea,KOR,2014,1715374200,
South Korea,KOR,2015,1842361100,
South Korea,KOR,2016,2173276000,
South Korea,KOR,2017,2029828900,
South Korea,KOR,2018,2163920400,
South Korea,KOR,2019,2400806400,
South Korea,KOR,2020,2180563700,
South Korea,KOR,2021,2690605000,
South Korea,KOR,2022,2906260000,
South Korea,KOR,2023,3241459000,
Spain,ESP,1980,411235070,
Spain,ESP,1981,691749760,
Spain,ESP,1982,718678800,
Spain,ESP,1983,245479840,
Spain,ESP,1984,485382530,
Spain,ESP,1985,591042500,
Spain,ESP,1986,528139300,
Spain,ESP,1987,500893100,
Spain,ESP,1988,478322780,
Spain,ESP,1989,991959500,
Spain,ESP,1990,1418762400,
Spain,ESP,1991,1768453800,
Spain,ESP,1992,1964792800,
Spain,ESP,1993,2005364200,
Spain,ESP,1994,2033781900,
Spain,ESP,1995,1864355000,
Spain,ESP,1996,1699612500,
Spain,ESP,1997,1892828400,
Spain,ESP,1998,2098387000,
Spain,ESP,1999,2120051100,
Spain,ESP,2000,2078950400,
Spain,ESP,2001,2987486500,
Spain,ESP,2002,2688520700,
Spain,ESP,2003,2471564800,
Spain,ESP,2004,2688428500,
Spain,ESP,2005,3197351700,
Spain,ESP,2006,3847144000,
Spain,ESP,2007,4597028000,
Spain,ESP,2008,5700420600,
Spain,ESP,2009,5653105000,
Spain,ESP,2010,5362453000,
Spain,ESP,2011,3583724800,
Spain,ESP,2012,1894801700,
Spain,ESP,2013,2105834200,
Spain,ESP,2014,1688087000,
Spain,ESP,2015,1494484000,
Spain,ESP,2016,4518724600,
Spain,ESP,2017,2652591400,
Spain,ESP,2018,2531043300,
Spain,ESP,2019,2751369000,
Spain,ESP,2020,2702460200,
Spain,ESP,2021,3110279400,
Spain,ESP,2022,4046530000,
Spain,ESP,2023,3315701800,
Susan T. Buffett Foundation,,2017,307160000,
Susan T. Buffett Foundation,,2018,354269980,
Susan T. Buffett Foundation,,2019,391480000,
Susan T. Buffett Foundation,,2020,355520000,
Susan T. Buffett Foundation,,2021,284090000,
Susan T. Buffett Foundation,,2022,237030000,
Sweden,SWE,1960,52656320,
Sweden,SWE,1961,64120644,
Sweden,SWE,1962,135452770,
Sweden,SWE,1963,164209700,
Sweden,SWE,1964,223662220,
Sweden,SWE,1965,245570000,
Sweden,SWE,1966,346118800,
Sweden,SWE,1967,344856100,
Sweden,SWE,1968,402160350,
Sweden,SWE,1969,656926100,
Sweden,SWE,1970,608262460,
Sweden,SWE,1971,759271500,
Sweden,SWE,1972,823876030,
Sweden,SWE,1973,979197000,
Sweden,SWE,1974,1329744100,
Sweden,SWE,1975,1531619200,
Sweden,SWE,1976,1542112000,
Sweden,SWE,1977,1840609000,
Sweden,SWE,1978,1700768100,
Sweden,SWE,1979,1886963100,
Sweden,SWE,1980,1623818200,
Sweden,SWE,1981,1706528600,
Sweden,SWE,1982,2104239700,
Sweden,SWE,1983,1783779300,
Sweden,SWE,1984,1758422400,
Sweden,SWE,1985,1946905600,
Sweden,SWE,1986,1967740400,
Sweden,SWE,1987,2110145300,
Sweden,SWE,1988,2134696800,
Sweden,SWE,1989,2440894500,
Sweden,SWE,1990,2283381500,
Sweden,SWE,1991,2272218600,
Sweden,SWE,1992,2517825000,
Sweden,SWE,1993,2368178700,
Sweden,SWE,1994,2352356400,
Sweden,SWE,1995,1963134500,
Sweden,SWE,1996,2143341300,
